0:0:0:0:0:0:0:1 - - [04/Nov/2017:13:15:26 +0200] "GET /syncope/index.html HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [04/Nov/2017:13:15:34 +0200] "GET /syncope HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [04/Nov/2017:13:15:52 +0200] "GET /syncope-enduser HTTP/1.1" 302 -
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [04/Nov/2017:13:15:53 +0200] "GET /syncope-enduser/ HTTP/1.1" 200 5
127.0.0.1 - - [04/Nov/2017:13:16:03 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:16:03 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [04/Nov/2017:13:16:03 +0200] "GET /syncope-console/ HTTP/1.1" 500 8652
127.0.0.1 - - [04/Nov/2017:13:34:29 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:34:29 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [04/Nov/2017:13:34:29 +0200] "GET /syncope-console/ HTTP/1.1" 500 8652
127.0.0.1 - - [04/Nov/2017:13:49:13 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
127.0.0.1 - - [04/Nov/2017:13:49:13 +0200] "GET /syncope/rest/platform HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [04/Nov/2017:13:49:13 +0200] "GET /syncope-console/ HTTP/1.1" 500 8652
127.0.0.1 - - [04/Nov/2017:14:30:44 +0200] "GET /syncope/rest/platform HTTP/1.1" 200 1744
127.0.0.1 - - [04/Nov/2017:14:30:45 +0200] "GET /syncope/rest/system HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:45 +0200] "GET /syncope-console/ HTTP/1.1" 302 -
127.0.0.1 - - [04/Nov/2017:14:30:45 +0200] "GET /syncope/rest/domains HTTP/1.1" 200 89
127.0.0.1 - - [04/Nov/2017:14:30:45 +0200] "GET /syncope/rest/saml2sp/identityProviders HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/login?1 HTTP/1.1" 200 8217
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/org.apache.wicket.resource.DynamicJQueryResourceReference/jquery/jquery-2.2.4-ver-F9EE266EF993962AD59E804AD9DEBE66.js HTTP/1.1" 200 85513
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/com.googlecode.wicket.kendo.ui.theme.Initializer/kendo.bootstrap.min-ver-F8144FAFBB3F742629B402D9C64F50DB.css HTTP/1.1" 200 85256
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-event-jquery-ver-C3754B973B77810139CEB050DAFE9A6A.js HTTP/1.1" 200 4072
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/org.apache.syncope.client.console.themes.AdminLTE/js/AdminLTE-app.min-ver-C97EDDE005D18D707BCF8F3185DE7201.js HTTP/1.1" 200 9923
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/org.apache.syncope.client.console.themes.AdminLTECssResourceReference/css/AdminLTE-ver-369B017375C8C4A0878CC3637CD022A5.css HTTP/1.1" 200 110430
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/de.agilecoders.wicket.core.markup.html.references.JQueryMigrateJavaScriptReference/js/jquery-migrate-1.3.0-ver-322AF89581C7A1AD21A8149F51B8CC16.js HTTP/1.1" 200 9363
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/com.googlecode.wicket.kendo.ui.resource.KendoUIJavaScriptResourceReference/kendo.ui.core.min-ver-BE95097F3DA64C6922D49161284F7AE8.js HTTP/1.1" 200 793247
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/de.agilecoders.wicket.extensions.markup.html.bootstrap.form.select.SelectJSReference/js/bootstrap-select-ver-E4655BA8C1D50A913EABEFF376A1C62E.js HTTP/1.1" 200 31428
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/com.googlecode.wicket.kendo.ui.theme.Initializer/kendo.common-bootstrap.min-ver-0B2FC6E6FC70AAB972CB41DF7C177C95.css HTTP/1.1" 200 229260
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/de.agilecoders.wicket.extensions.markup.html.bootstrap.form.select.BootstrapSelectBehavior/css/bootstrap-select-ver-8AF183DE27659F37FBA96485D084DD2D.css HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/com.googlecode.wicket.kendo.ui.theme.Initializer/kendo.bootstrap.mobile.min-ver-AF97CF455781A76DBC3DF6BCDAA2297F.css HTTP/1.1" 200 112591
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/css/login.css HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/webjars/font-awesome/4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/webjars/ionicons/2.0.1/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/org.apache.wicket.ajax.AbstractDefaultAjaxBehavior/res/js/wicket-ajax-jquery-ver-6DF86E3B3842D86E08D396E6FC566F05.js HTTP/1.1" 200 43462
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/css/syncopeConsole.css HTTP/1.1" 200 19346
0:0:0:0:0:0:0:1 - - [04/Nov/2017:14:30:47 +0200] "GET /syncope-console/wicket/resource/de.agilecoders.wicket.webjars.request.resource.WebjarsCssResourceReference/webjars/bootstrap/3.3.7/css/bootstrap-ver-EC3BB52A00E176A7181D454DFFAEA219.css HTTP/1.1" 200 121200
